level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	186	183	2144	2816	-1	
3	1	1	1	0	0	228	183	2101	174	-1	
4	1	1	1	1	0	231	183	2098	55	-1	
5	1	1	1	1	1	231	183	41	30	86.517502	i8
5	1	1	1	1	2	1038	195	54	27	96.881874	<<
5	1	1	1	1	3	1107	187	60	35	96.594551	LE
5	1	1	1	1	4	1184	189	262	36	96.084473	MONITEUR
5	1	1	1	1	5	1463	199	54	26	96.911186	>>
5	1	1	1	1	6	1647	198	122	40	96.389069	Spécial
5	1	1	1	1	7	1780	201	39	28	93.063110	N°
5	1	1	1	1	8	1830	201	22	28	92.439590	5
5	1	1	1	1	9	1863	217	11	5	92.439590	-
5	1	1	1	1	10	1886	201	156	30	96.654335	Mercredi
5	1	1	1	1	11	2056	202	40	29	90.791710	1”
5	1	1	1	1	12	2107	204	127	30	96.117393	Février
5	1	1	1	1	13	2244	205	85	30	96.846428	2017
4	1	1	1	2	0	228	230	2102	38	-1	
5	1	1	1	2	1	228	230	2102	38	20.078339	ES
4	1	1	1	3	0	604	309	1329	48	-1	
5	1	1	1	3	1	604	316	13	12	61.505142	»
5	1	1	1	3	2	678	309	76	30	57.727623	rend
5	1	1	1	3	3	768	313	128	35	95.912567	compte
5	1	1	1	3	4	909	310	39	30	96.972595	de
5	1	1	1	3	5	962	310	30	31	96.999924	la
5	1	1	1	3	6	1005	310	126	39	96.666420	gestion
5	1	1	1	3	7	1145	316	30	26	96.666420	et
5	1	1	1	3	8	1188	312	56	31	96.984322	des
5	1	1	1	3	9	1257	313	146	32	96.788017	résultats
5	1	1	1	3	10	1418	315	55	30	96.400551	des
5	1	1	1	3	11	1488	324	218	31	96.657814	programmes
5	1	1	1	3	12	1721	318	212	39	95.965424	budgétaires;
3	1	1	2	0	0	207	409	2116	1912	-1	
4	1	1	2	1	0	603	409	1720	44	-1	
5	1	1	2	1	1	603	415	12	11	85.188148	»
5	1	1	2	1	2	676	412	76	34	96.233749	peut
5	1	1	2	1	3	769	414	181	33	96.048157	comporter
5	1	1	2	1	4	968	414	102	27	96.683662	toutes
5	1	1	2	1	5	1089	409	209	41	96.447662	dispositions
5	1	1	2	1	6	1317	412	149	32	96.094582	relatives
5	1	1	2	1	7	1485	414	18	30	93.296249	à
5	1	1	2	1	8	1521	414	233	33	90.384506	l’information
5	1	1	2	1	9	1773	417	43	30	96.300835	du
5	1	1	2	1	10	1834	417	178	32	96.567200	Parlement
5	1	1	2	1	11	2031	429	53	21	96.715149	sur
5	1	1	2	1	12	2102	420	47	32	96.815590	les
5	1	1	2	1	13	2168	421	155	32	96.753571	Finances
4	1	1	2	2	0	675	460	185	41	-1	
5	1	1	2	2	1	675	460	185	41	96.313377	Publiques.
4	1	1	2	3	0	298	555	1558	50	-1	
5	1	1	2	3	1	298	555	130	32	93.300110	Article
5	1	1	2	3	2	445	556	68	32	91.959648	56.-
5	1	1	2	3	3	600	559	44	31	96.336403	Le
5	1	1	2	3	4	657	559	102	40	96.687332	projet
5	1	1	2	3	5	772	559	40	32	97.003769	de
5	1	1	2	3	6	827	561	42	30	96.971504	loi
5	1	1	2	3	7	884	561	39	30	96.980415	de
5	1	1	2	3	8	936	562	176	40	96.556557	règlement
5	1	1	2	3	9	1125	568	48	26	97.008316	est
5	1	1	2	3	10	1187	565	217	40	96.755180	accompagné
5	1	1	2	3	11	1418	566	57	31	96.724274	des
5	1	1	2	3	12	1490	567	188	32	96.369057	documents
5	1	1	2	3	13	1692	568	142	33	93.250702	suivants
5	1	1	2	3	14	1850	580	6	20	93.250702	:
4	1	1	2	4	0	223	654	734	45	-1	
5	1	1	2	4	1	223	654	30	38	77.803085	a)
5	1	1	2	4	2	270	654	51	32	97.004753	Au
5	1	1	2	4	3	336	654	69	32	96.817856	titre
5	1	1	2	4	4	420	655	40	31	97.016853	de
5	1	1	2	4	5	475	655	30	32	96.834061	la
5	1	1	2	4	6	519	657	219	40	96.638130	comptabilité
5	1	1	2	4	7	751	658	185	41	93.241867	budgétaire
5	1	1	2	4	8	952	670	5	21	93.241867	:
4	1	1	2	5	0	600	757	1718	52	-1	
5	1	1	2	5	1	600	757	27	31	55.912033	1.
5	1	1	2	5	2	672	757	156	40	79.672256	Synthèse
5	1	1	2	5	3	843	759	39	30	93.137596	de
5	1	1	2	5	4	897	759	194	33	92.406914	l’exécution
5	1	1	2	5	5	1106	762	40	30	97.013763	de
5	1	1	2	5	6	1160	762	30	30	96.172684	la
5	1	1	2	5	7	1203	762	44	32	96.952400	loi
5	1	1	2	5	8	1263	763	39	31	96.665474	de
5	1	1	2	5	9	1316	762	156	38	96.665474	finances,
5	1	1	2	5	10	1488	765	164	39	96.674782	(synthèse
5	1	1	2	5	11	1667	766	39	32	96.971893	de
