level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	1050	210	1289	48	-1	
3	1	1	1	0	0	1050	210	1289	48	-1	
4	1	1	1	1	0	1050	210	1289	48	-1	
5	1	1	1	1	1	1050	217	54	27	95.960251	<<
5	1	1	1	1	2	1119	210	60	34	94.480507	LE
5	1	1	1	1	3	1194	210	264	37	93.403107	MONITEUR
5	1	1	1	1	4	1473	220	54	27	96.416573	>>
5	1	1	1	1	5	1658	220	122	38	96.902603	Spécial
5	1	1	1	1	6	1790	223	41	29	93.119659	N°
5	1	1	1	1	7	1841	223	21	29	91.677383	5
5	1	1	1	1	8	1875	240	11	3	91.677383	-
5	1	1	1	1	9	1898	223	155	30	96.349770	Mercredi
5	1	1	1	1	10	2067	225	40	28	51.858006	1“
5	1	1	1	1	11	2117	225	128	31	96.373230	Février
5	1	1	1	1	12	2255	228	84	28	96.782455	2017
2	1	2	0	0	0	240	231	2098	47	-1	
3	1	2	1	0	0	240	231	2098	47	-1	
4	1	2	1	1	0	240	231	2098	47	-1	
5	1	2	1	1	1	240	231	2098	47	95.000000	 
2	1	3	0	0	0	240	243	2098	53	-1	
3	1	3	1	0	0	240	243	2098	53	-1	
4	1	3	1	1	0	240	243	2098	53	-1	
5	1	3	1	1	1	240	243	2098	53	95.000000	 
2	1	4	0	0	0	315	327	213	32	-1	
3	1	4	1	0	0	315	327	213	32	-1	
4	1	4	1	1	0	315	327	213	32	-1	
5	1	4	1	1	1	315	327	129	31	93.212097	Article
5	1	4	1	1	2	460	327	68	32	82.012772	92.-
2	1	5	0	0	0	312	480	215	32	-1	
3	1	5	1	0	0	312	480	215	32	-1	
4	1	5	1	1	0	312	480	215	32	-1	
5	1	5	1	1	1	312	480	129	32	88.251724	Article
5	1	5	1	1	2	459	480	68	32	89.894791	93.-
2	1	6	0	0	0	309	633	215	32	-1	
3	1	6	1	0	0	309	633	215	32	-1	
4	1	6	1	1	0	309	633	215	32	-1	
5	1	6	1	1	1	309	633	129	32	95.933708	Article
5	1	6	1	1	2	456	633	68	32	47.600349	94.
2	1	7	0	0	0	300	1164	215	33	-1	
3	1	7	1	0	0	300	1164	215	33	-1	
4	1	7	1	1	0	300	1164	215	33	-1	
5	1	7	1	1	1	300	1164	129	32	93.830521	Article
5	1	7	1	1	2	447	1165	68	32	27.524376	95.
2	1	8	0	0	0	614	330	1721	108	-1	
3	1	8	1	0	0	614	330	1721	108	-1	
4	1	8	1	1	0	615	330	1720	48	-1	
5	1	8	1	1	1	615	330	87	31	96.004242	Dans
5	1	8	1	1	2	717	330	45	31	95.941879	les
5	1	8	1	1	3	777	331	180	32	96.426651	conditions
5	1	8	1	1	4	972	333	134	40	96.743431	prévues
5	1	8	1	1	5	1119	343	56	31	96.861084	par
5	1	8	1	1	6	1187	334	30	32	88.893494	la
5	1	8	1	1	7	1230	335	45	31	93.352386	loi
5	1	8	1	1	8	1289	336	180	37	96.304283	électorale,
5	1	8	1	1	9	1482	337	30	30	94.901985	le
5	1	8	1	1	10	1527	343	94	26	96.763313	statut
5	1	8	1	1	11	1634	339	128	39	66.339127	général
5	1	8	1	1	12	1775	340	56	32	96.693474	des
5	1	8	1	1	13	1844	340	250	33	96.557442	fonctionnaires
5	1	8	1	1	14	2108	352	42	22	96.714493	ou
5	1	8	1	1	15	2164	345	46	31	93.742409	les
5	1	8	1	1	16	2225	351	110	26	95.051834	statuts
4	1	8	1	2	0	614	384	1701	54	-1	
5	1	8	1	2	1	614	384	207	39	96.639297	particuliers,
5	1	8	1	2	2	836	385	172	32	7.713997	l'exercice
5	1	8	1	2	3	1022	387	39	31	96.264282	de
5	1	8	1	2	4	1076	388	153	32	96.264282	certaines
5	1	8	1	2	5	1244	390	144	31	95.890091	activités
5	1	8	1	2	6	1403	396	48	26	96.213264	est
5	1	8	1	2	7	1464	390	127	33	96.826874	interdit
5	1	8	1	2	8	1605	402	60	21	93.291115	aux
5	1	8	1	2	9	1680	393	227	33	89.268738	ordonnateurs
5	1	8	1	2	10	1922	400	30	26	96.711388	et
5	1	8	1	2	11	1965	397	199	40	95.234306	comptables
5	1	8	1	2	12	2179	399	136	39	96.709335	publics.
2	1	9	0	0	0	612	483	1721	111	-1	
3	1	9	1	0	0	612	483	1721	107	-1	
4	1	9	1	1	0	612	483	1721	50	-1	
5	1	9	1	1	1	612	483	62	32	93.281418	Les
5	1	9	1	1	2	693	484	240	38	91.036987	ordonnateurs,
5	1	9	1	1	3	954	486	45	32	96.557213	les
5	1	9	1	1	4	1019	487	196	32	96.386894	contrôleurs
5	1	9	1	1	5	1235	489	172	32	96.541512	financiers
5	1	9	1	1	6	1427	495	31	26	96.541512	et
5	1	9	1	1	7	1476	490	47	32	96.444153	les
5	1	9	1	1	8	1542	492	200	39	96.679024	comptables
5	1	9	1	1	9	1760	493	126	40	93.233971	publics
5	1	9	1	1	10	1905	501	184	31	92.331528	encourent,
5	1	9	1	1	11	2109	505	40	23	96.999077	en
5	1	9	1	1	12	2168	498	107	32	96.915413	raison
5	1	9	1	1	13	2294	499	39	31	96.573799	de
4	1	9	1	2	0	612	537	1450	57	-1	
5	1	9	1	2	1	612	537	173	32	61.012749	lexercice
5	1	9	1	2	2	798	538	39	31	95.954506	de
5	1	9	1	2	3	852	538	83	32	95.162300	leurs
5	1	9	1	2	4	949	540	208	38	95.162300	attributions,
5	1	9	1	2	5	1173	541	45	32	96.469467	les
5	1	9	1	2	6	1233	543	261	40	95.473587	responsabilités
5	1	9	1	2	7	1509	544	137	32	96.970161	définies
5	1	9	1	2	8	1661	555	56	32	96.522858	par
5	1	9	1	2	9	1730	547	29	31	94.111702	le
5	1	9	1	2	10	1772	547	127	40	96.713837	présent
5	1	9	1	2	11	1911	544	151	50	96.649445	chapitre.
2	1	10	0	0	0	603	636	1729	483	-1	
3	1	10	1	0	0	603	636	1729	483	-1	
4	1	10	1	1	0	610	636	1722	50	-1	
5	1	10	1	1	1	610	636	24	30	70.957520	Il
5	1	10	1	1	2	645	642	48	25	70.957520	est
