level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	1053	638	374	40	-1	
3	1	1	1	0	0	1053	638	374	40	-1	
4	1	1	1	1	0	1053	638	374	40	-1	
5	1	1	1	1	1	1053	638	374	40	95.000000	 
2	1	2	0	0	0	177	235	2105	685	-1	
3	1	2	1	0	0	177	235	2105	685	-1	
4	1	2	1	1	0	177	235	2105	685	-1	
5	1	2	1	1	1	177	235	2105	685	95.000000	 
2	1	3	0	0	0	1041	894	395	40	-1	
3	1	3	1	0	0	1041	894	395	40	-1	
4	1	3	1	1	0	1041	894	395	40	-1	
5	1	3	1	1	1	1041	894	395	40	95.000000	 
2	1	4	0	0	0	1861	963	294	30	-1	
3	1	4	1	0	0	1861	963	294	30	-1	
4	1	4	1	1	0	1861	963	294	30	-1	
5	1	4	1	1	1	1861	963	156	30	95.887741	Directeur
5	1	4	1	1	2	2025	963	130	30	66.790169	Général
2	1	5	0	0	0	174	1032	2098	99	-1	
3	1	5	1	0	0	174	1032	2098	99	-1	
4	1	5	1	1	0	174	1032	2098	99	-1	
5	1	5	1	1	1	174	1032	2098	99	95.000000	 
2	1	6	0	0	0	172	1051	2100	92	-1	
3	1	6	1	0	0	172	1051	2100	92	-1	
4	1	6	1	1	0	172	1051	2100	92	-1	
5	1	6	1	1	1	172	1051	2100	92	95.000000	 
2	1	7	0	0	0	1731	1099	7	83	-1	
3	1	7	1	0	0	1731	1099	7	83	-1	
4	1	7	1	1	0	1731	1099	7	83	-1	
5	1	7	1	1	1	1731	1099	7	83	95.000000	 
2	1	8	0	0	0	1717	1099	7	84	-1	
3	1	8	1	0	0	1717	1099	7	84	-1	
4	1	8	1	1	0	1717	1099	7	84	-1	
5	1	8	1	1	1	1717	1099	7	84	95.000000	 
2	1	9	0	0	0	689	1092	6	83	-1	
3	1	9	1	0	0	689	1092	6	83	-1	
4	1	9	1	1	0	689	1092	6	83	-1	
5	1	9	1	1	1	689	1092	6	83	95.000000	 
2	1	10	0	0	0	703	1092	7	83	-1	
3	1	10	1	0	0	703	1092	7	83	-1	
4	1	10	1	1	0	703	1092	7	83	-1	
5	1	10	1	1	1	703	1092	7	83	95.000000	 
2	1	11	0	0	0	172	1130	2098	93	-1	
3	1	11	1	0	0	172	1130	2098	93	-1	
