level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3509	-1	
2	1	1	0	0	0	121	233	2092	37	-1	
3	1	1	1	0	0	121	233	2092	37	-1	
4	1	1	1	1	0	121	233	2092	37	-1	
5	1	1	1	1	1	121	241	54	29	96.554062	No.
5	1	1	1	1	2	191	240	42	30	91.710625	20
5	1	1	1	1	3	246	257	10	4	91.710625	-
5	1	1	1	1	4	285	240	148	30	96.280151	Vendredi
5	1	1	1	1	5	445	239	40	31	96.994759	29
5	1	1	1	1	6	497	240	127	30	96.714455	Janvier
5	1	1	1	1	7	633	238	83	31	96.739563	2016
5	1	1	1	1	8	928	242	55	26	96.939621	<<
5	1	1	1	1	9	1000	233	58	36	96.157532	LE
5	1	1	1	1	10	1074	233	261	37	95.543472	MONITEUR
5	1	1	1	1	11	1352	242	55	26	96.993721	>>
5	1	1	1	1	12	2173	236	40	30	96.687126	25
2	1	2	0	0	0	122	273	2090	8	-1	
3	1	2	1	0	0	122	273	2090	8	-1	
4	1	2	1	1	0	122	273	2090	8	-1	
5	1	2	1	1	1	122	273	2090	8	95.000000	 
2	1	3	0	0	0	120	284	2094	17	-1	
3	1	3	1	0	0	120	284	2094	17	-1	
4	1	3	1	1	0	120	284	2094	17	-1	
5	1	3	1	1	1	120	284	2094	17	95.000000	 
2	1	4	0	0	0	188	562	210	33	-1	
3	1	4	1	0	0	188	562	210	33	-1	
4	1	4	1	1	0	188	562	210	33	-1	
5	1	4	1	1	1	188	562	126	33	93.298553	Article
5	1	4	1	1	2	329	562	69	32	92.540970	35.-
2	1	5	0	0	0	188	1639	210	31	-1	
3	1	5	1	0	0	188	1639	210	31	-1	
4	1	5	1	1	0	188	1639	210	31	-1	
5	1	5	1	1	1	188	1640	127	30	93.299484	Article
5	1	5	1	1	2	330	1639	68	31	90.135719	36.-
2	1	6	0	0	0	189	2253	210	34	-1	
3	1	6	1	0	0	189	2253	210	34	-1	
4	1	6	1	1	0	189	2253	210	34	-1	
5	1	6	1	1	1	189	2255	128	32	93.294441	Article
5	1	6	1	1	2	332	2253	67	34	92.828232	37.-
2	1	7	0	0	0	189	2766	208	32	-1	
3	1	7	1	0	0	189	2766	208	32	-1	
4	1	7	1	1	0	189	2766	208	32	-1	
5	1	7	1	1	1	189	2766	128	32	93.294289	Article
5	1	7	1	1	2	329	2766	68	32	92.073105	38.-
2	1	8	0	0	0	665	355	1013	136	-1	
3	1	8	1	0	0	665	355	1013	136	-1	
4	1	8	1	1	0	1027	355	281	33	-1	
5	1	8	1	1	1	1027	355	228	33	96.240532	CHAPITRE
5	1	8	1	1	2	1277	355	31	32	81.716011	II
4	1	8	1	2	0	665	393	1013	68	-1	
5	1	8	1	2	1	665	407	331	33	20.143456	L'UTILISATION
5	1	8	1	2	2	1007	407	83	32	95.893211	DES
5	1	8	1	2	3	1100	407	190	32	95.691299	MOYENS
5	1	8	1	2	4	1300	393	378	68	95.991028	ÉLECTRONIQUES
4	1	8	1	3	0	699	449	947	42	-1	
5	1	8	1	3	1	699	459	116	32	96.234779	DANS
5	1	8	1	3	2	827	459	56	32	96.234779	LE
5	1	8	1	3	3	896	449	344	42	95.616440	DÉROULEMENT
5	1	8	1	3	4	1252	458	83	32	93.299156	DES
5	1	8	1	3	5	1348	457	298	33	91.910004	PROCÉDURES
2	1	9	0	0	0	449	559	1766	290	-1	
3	1	9	1	0	0	449	559	1766	290	-1	
4	1	9	1	1	0	449	559	1764	42	-1	
5	1	9	1	1	1	449	563	45	30	96.845306	La
5	1	9	1	1	2	511	561	79	32	96.345444	mise
5	1	9	1	1	3	607	571	40	22	96.490868	en
5	1	9	1	1	4	664	562	108	31	96.688034	branle
5	1	9	1	1	5	789	562	97	31	95.547653	d’une
5	1	9	1	1	6	903	561	172	40	96.249916	procédure
5	1	9	1	1	7	1094	561	247	32	96.328117	administrative
