level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3509	-1	
2	1	1	0	0	0	260	260	38	30	-1	
3	1	1	1	0	0	260	260	38	30	-1	
4	1	1	1	1	0	260	260	38	30	-1	
5	1	1	1	1	1	260	260	38	30	94.095009	18
2	1	2	0	0	0	1064	253	1285	36	-1	
3	1	2	1	0	0	1064	253	1285	36	-1	
4	1	2	1	1	0	1064	253	1285	36	-1	
5	1	2	1	1	1	1064	262	55	27	96.816544	<<
5	1	2	1	1	2	1135	254	59	35	95.462715	LE
5	1	2	1	1	3	1210	253	261	36	95.873978	MONITEUR
5	1	2	1	1	4	1487	262	55	26	95.904480	>>
5	1	2	1	1	5	1754	259	55	29	93.201614	No.
5	1	2	1	1	6	1825	258	65	30	82.037750	20-
5	1	2	1	1	7	1918	257	149	31	96.365120	Vendredi
5	1	2	1	1	8	2078	257	42	30	96.365120	29
5	1	2	1	1	9	2130	258	127	29	96.534859	Janvier
5	1	2	1	1	10	2267	257	82	30	96.881500	2016
2	1	3	0	0	0	257	294	2093	7	-1	
3	1	3	1	0	0	257	294	2093	7	-1	
4	1	3	1	1	0	257	294	2093	7	-1	
5	1	3	1	1	1	257	294	2093	7	95.000000	 
2	1	4	0	0	0	255	304	2095	18	-1	
3	1	4	1	0	0	255	304	2095	18	-1	
4	1	4	1	1	0	255	304	2095	18	-1	
5	1	4	1	1	1	255	304	2095	18	95.000000	 
2	1	5	0	0	0	323	1146	210	33	-1	
3	1	5	1	0	0	323	1146	210	33	-1	
4	1	5	1	1	0	323	1146	210	33	-1	
5	1	5	1	1	1	323	1146	127	33	93.263641	Article
5	1	5	1	1	2	469	1147	64	31	91.984184	10.-
2	1	6	0	0	0	325	2121	210	32	-1	
3	1	6	1	0	0	325	2121	210	32	-1	
4	1	6	1	1	0	325	2121	210	32	-1	
5	1	6	1	1	1	325	2121	127	32	93.295715	Article
5	1	6	1	1	2	471	2121	64	31	90.091530	11.-
2	1	7	0	0	0	327	2532	209	32	-1	
3	1	7	1	0	0	327	2532	209	32	-1	
4	1	7	1	1	0	327	2532	209	32	-1	
5	1	7	1	1	1	327	2532	126	32	93.269135	Article
5	1	7	1	1	2	472	2532	64	31	87.711342	12.-
2	1	8	0	0	0	584	373	1765	147	-1	
3	1	8	1	0	0	584	373	1765	147	-1	
4	1	8	1	1	0	586	373	1763	45	-1	
5	1	8	1	1	1	586	377	186	32	96.846886	intéressées
5	1	8	1	1	2	785	384	30	24	96.745598	et
5	1	8	1	1	3	827	377	53	41	96.218742	qui
5	1	8	1	1	4	897	386	32	21	96.218742	se
5	1	8	1	1	5	944	383	142	25	96.727379	trouvent
5	1	8	1	1	6	1101	386	52	21	96.727379	sur
5	1	8	1	1	7	1166	381	129	36	96.021889	support
5	1	8	1	1	8	1307	375	223	41	96.050682	électronique.
5	1	8	1	1	9	1547	375	67	31	96.160286	Elle
5	1	8	1	1	10	1627	374	134	42	96.746498	spécifie
5	1	8	1	1	11	1775	375	46	30	96.228600	les
5	1	8	1	1	12	1834	374	190	34	96.692810	conditions,
5	1	8	1	1	13	2040	374	44	31	96.740082	les
5	1	8	1	1	14	2100	374	188	40	94.259354	protocoles,
5	1	8	1	1	15	2304	373	45	31	95.339714	les
4	1	8	1	2	0	584	424	1765	45	-1	
5	1	8	1	2	1	584	429	127	32	96.877037	critères
5	1	8	1	2	2	726	428	213	32	96.227364	fonctionnels
5	1	8	1	2	3	952	434	30	26	96.775726	et
5	1	8	1	2	4	997	428	183	41	96.582138	techniques
5	1	8	1	2	5	1196	427	193	32	96.896019	nécessaires
5	1	8	1	2	6	1402	436	80	32	96.653664	pour
5	1	8	1	2	7	1496	426	131	32	96.233353	accéder
5	1	8	1	2	8	1640	427	17	31	96.862625	à
5	1	8	1	2	9	1671	436	54	22	96.773407	ces
5	1	8	1	2	10	1739	426	141	31	96.107849	données
5	1	8	1	2	11	1894	425	78	32	96.883324	dans
5	1	8	1	2	12	1988	426	44	31	96.710220	les
5	1	8	1	2	13	2048	425	178	31	93.292358	meilleures
5	1	8	1	2	14	2240	424	109	32	92.275215	condi-
4	1	8	1	3	0	585	475	1713	45	-1	
5	1	8	1	3	1	585	480	82	32	96.150879	tions
5	1	8	1	3	2	681	480	40	31	96.985596	de
5	1	8	1	3	3	735	480	143	34	93.296654	sécurité,
5	1	8	1	3	4	893	479	190	41	76.991753	d’intégrité,
5	1	8	1	3	5	1098	479	39	31	97.013397	de
5	1	8	1	3	6	1151	478	216	41	96.292076	disponibilité
5	1	8	1	3	7	1381	484	31	25	96.972198	et
5	1	8	1	3	8	1425	478	40	31	96.899971	de
5	1	8	1	3	9	1479	484	121	34	96.875473	respect
5	1	8	1	3	10	1615	478	56	31	96.834763	des
5	1	8	1	3	11	1686	477	220	32	96.206497	informations
5	1	8	1	3	12	1921	478	17	30	96.950699	à
5	1	8	1	3	13	1951	476	156	32	96.282242	caractère
5	1	8	1	3	14	2122	475	176	41	95.855072	personnel.
2	1	9	0	0	0	585	578	1765	298	-1	
3	1	9	1	0	0	585	578	1765	298	-1	
4	1	9	1	1	0	585	578	1765	45	-1	
5	1	9	1	1	1	585	583	44	31	96.960167	La
5	1	9	1	1	2	642	582	215	41	96.325150	disponibilité
5	1	9	1	1	3	872	582	39	31	96.471565	de
5	1	9	1	1	4	924	592	53	21	96.980690	ces
5	1	9	1	1	5	991	581	141	32	96.196091	données
5	1	9	1	1	6	1146	586	46	26	96.789398	est
5	1	9	1	1	7	1206	581	118	31	96.025703	limitée
5	1	9	1	1	8	1339	580	191	32	95.946205	strictement
5	1	9	1	1	9	1543	580	17	31	97.000504	à
5	1	9	1	1	10	1573	580	98	31	96.622879	celles
5	1	9	1	1	11	1685	579	140	41	96.095222	requises
5	1	9	1	1	12	1839	580	56	30	97.006546	des
5	1	9	1	1	13	1908	579	199	31	96.701996	administrés
5	1	9	1	1	14	2121	588	55	31	96.948936	par
5	1	9	1	1	15	2189	578	45	31	96.427879	les
5	1	9	1	1	16	2248	584	102	25	96.106544	autres
4	1	9	1	2	0	585	629	1765	49	-1	
5	1	9	1	2	1	585	634	112	32	96.383057	entités
5	1	9	1	2	2	707	634	264	31	95.839424	administratives
5	1	9	1	2	3	981	643	81	31	96.935814	pour
5	1	9	1	2	4	1071	633	46	31	96.633957	les
5	1	9	1	2	5	1127	632	173	32	96.271774	formalités
5	1	9	1	2	6	1312	638	29	26	96.939713	et
5	1	9	1	2	7	1351	631	190	42	96.239136	procédures
5	1	9	1	2	8	1551	632	139	31	96.186249	relevant
5	1	9	1	2	9	1699	631	40	31	96.667564	de
5	1	9	1	2	10	1750	631	82	31	96.458519	leurs
5	1	9	1	2	11	1842	630	223	48	94.961708	compétences
5	1	9	1	2	12	2077	629	127	41	94.738342	légales.
5	1	9	1	2	13	2217	629	133	31	79.960869	L'accès
4	1	9	1	3	0	585	680	1765	44	-1	
5	1	9	1	3	1	585	695	60	22	96.895172	aux
5	1	9	1	3	2	660	685	141	32	96.559219	données
5	1	9	1	3	3	817	685	17	31	96.892258	à
5	1	9	1	3	4	848	685	155	31	95.992584	caractère
5	1	9	1	3	5	1020	684	165	40	96.370934	personnel
5	1	9	1	3	6	1201	684	148	31	96.370934	demeure
5	1	9	1	3	7	1366	683	200	31	96.456863	subordonné
5	1	9	1	3	8	1581	692	61	22	96.331467	aux
5	1	9	1	3	9	1656	682	181	32	96.038528	conditions
5	1	9	1	3	10	1851	681	166	42	96.437294	prescrites
5	1	9	1	3	11	2032	682	18	30	96.716805	à
5	1	9	1	3	12	2065	681	133	31	94.697380	l’article
5	1	9	1	3	13	2213	681	19	30	96.155922	6
5	1	9	1	3	14	2248	680	102	32	96.511284	alinéa
4	1	9	1	4	0	585	737	401	39	-1	
5	1	9	1	4	1	585	737	19	31	92.411407	2
5	1	9	1	4	2	619	737	33	37	92.411407	b)
5	1	9	1	4	3	668	737	41	31	96.741013	du
5	1	9	1	4	4	724	737	123	39	96.470863	présent
5	1	9	1	4	5	863	737	123	31	96.367386	Décret.
4	1	9	1	5	0	1202	786	201	32	-1	
5	1	9	1	5	1	1202	786	134	32	96.159271	TITRE
5	1	9	1	5	2	1354	786	49	31	66.602211	II
