level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	216	205	2126	2830	-1	
3	1	1	1	0	0	241	205	2098	56	-1	
4	1	1	1	1	0	241	205	2098	56	-1	
5	1	1	1	1	1	241	205	41	30	96.929489	26
5	1	1	1	1	2	1050	217	54	27	96.845871	<<
5	1	1	1	1	3	1119	210	60	34	96.144951	LE
5	1	1	1	1	4	1194	210	264	37	95.873764	MONITEUR
5	1	1	1	1	5	1473	220	54	27	96.572823	>>
5	1	1	1	1	6	1658	220	122	41	96.848724	Spécial
5	1	1	1	1	7	1790	223	41	29	95.493019	N°
5	1	1	1	1	8	1841	223	21	29	85.506668	5
5	1	1	1	1	9	1875	240	11	3	85.506668	-
5	1	1	1	1	10	1898	223	155	30	96.690910	Mercredi
5	1	1	1	1	11	2067	225	40	28	61.995670	1"
5	1	1	1	1	12	2117	225	128	31	96.634834	Février
5	1	1	1	1	13	2255	228	84	28	96.893280	2017
3	1	1	2	0	0	236	252	2106	38	-1	
4	1	1	2	1	0	236	252	2106	38	-1	
5	1	1	2	1	1	236	252	232	38	17.297272	PEER
5	1	1	2	1	2	568	252	248	38	33.296570	EEE
5	1	1	2	1	3	844	252	219	38	32.986031	DEEE
5	1	1	2	1	4	1087	252	1255	38	33.579185	EEE
3	1	1	3	0	0	315	327	2020	111	-1	
4	1	1	3	1	0	315	327	2020	51	-1	
5	1	1	3	1	1	315	327	129	31	93.293716	Article
5	1	1	3	1	2	460	327	68	32	90.101105	92.-
5	1	1	3	1	3	615	330	87	31	96.706009	Dans
5	1	1	3	1	4	717	330	45	31	96.785851	les
5	1	1	3	1	5	777	331	180	32	96.917007	conditions
5	1	1	3	1	6	972	333	134	40	96.917007	prévues
5	1	1	3	1	7	1119	343	56	31	96.941177	par
5	1	1	3	1	8	1187	334	30	32	96.919624	la
5	1	1	3	1	9	1230	335	45	31	96.746933	loi
5	1	1	3	1	10	1289	336	180	37	96.973274	électorale,
5	1	1	3	1	11	1482	337	30	30	94.498260	le
5	1	1	3	1	12	1527	343	94	26	97.005287	statut
5	1	1	3	1	13	1634	339	128	39	96.823845	général
5	1	1	3	1	14	1775	340	56	32	96.875664	des
5	1	1	3	1	15	1844	340	250	33	96.617638	fonctionnaires
5	1	1	3	1	16	2108	352	42	22	96.580688	ou
5	1	1	3	1	17	2164	345	46	31	95.941330	les
5	1	1	3	1	18	2225	351	110	26	96.285423	statuts
4	1	1	3	2	0	614	384	1701	54	-1	
5	1	1	3	2	1	614	384	207	39	93.306122	particuliers,
5	1	1	3	2	2	836	385	172	32	92.721741	l’exercice
5	1	1	3	2	3	1022	387	39	31	97.020134	de
5	1	1	3	2	4	1076	388	153	32	96.929298	certaines
5	1	1	3	2	5	1244	390	144	31	96.929298	activités
5	1	1	3	2	6	1403	396	48	26	96.933578	est
5	1	1	3	2	7	1464	390	127	33	96.896667	interdit
5	1	1	3	2	8	1605	402	60	21	93.161476	aux
5	1	1	3	2	9	1680	393	227	33	92.304222	ordonnateurs
5	1	1	3	2	10	1922	400	30	26	97.010368	et
5	1	1	3	2	11	1965	397	199	40	96.392952	comptables
5	1	1	3	2	12	2179	399	136	39	96.768723	publics.
3	1	1	4	0	0	312	480	2021	110	-1	
4	1	1	4	1	0	312	480	2021	53	-1	
5	1	1	4	1	1	312	480	129	32	93.285126	Article
5	1	1	4	1	2	459	480	68	32	92.633606	93.-
5	1	1	4	1	3	612	483	62	32	93.303642	Les
5	1	1	4	1	4	693	484	240	38	92.231346	ordonnateurs,
5	1	1	4	1	5	954	486	45	32	96.814163	les
5	1	1	4	1	6	1019	487	196	32	96.933571	contrôleurs
5	1	1	4	1	7	1235	489	172	32	96.690094	financiers
5	1	1	4	1	8	1427	495	31	26	96.760735	et
5	1	1	4	1	9	1476	490	47	32	96.015915	les
5	1	1	4	1	10	1542	492	200	39	96.322083	comptables
5	1	1	4	1	11	1760	493	126	40	93.303215	publics
5	1	1	4	1	12	1905	501	184	31	92.874519	encourent,
5	1	1	4	1	13	2109	505	40	23	96.950218	en
5	1	1	4	1	14	2168	498	107	32	96.943520	raison
5	1	1	4	1	15	2294	499	39	31	96.994774	de
4	1	1	4	2	0	612	537	1450	57	-1	
5	1	1	4	2	1	612	537	173	32	91.257446	l’exercice
5	1	1	4	2	2	798	538	39	31	96.906303	de
5	1	1	4	2	3	852	538	83	32	96.682899	leurs
5	1	1	4	2	4	949	540	208	38	96.644737	attributions,
5	1	1	4	2	5	1173	541	45	32	96.644737	les
5	1	1	4	2	6	1233	543	261	40	96.730225	responsabilités
5	1	1	4	2	7	1509	544	137	32	96.954117	définies
5	1	1	4	2	8	1661	555	56	32	96.549736	par
5	1	1	4	2	9	1730	547	29	31	94.486610	le
5	1	1	4	2	10	1772	547	127	40	97.004768	présent
5	1	1	4	2	11	1911	544	151	50	96.474518	chapitre.
3	1	1	5	0	0	309	633	2023	486	-1	
4	1	1	5	1	0	309	633	2023	53	-1	
