level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	276	213	42	28	-1	
3	1	1	1	0	0	276	213	42	28	-1	
4	1	1	1	1	0	276	213	42	28	-1	
5	1	1	1	1	1	276	213	42	28	96.537468	24
2	1	2	0	0	0	1085	214	1290	47	-1	
3	1	2	1	0	0	1085	214	1290	47	-1	
4	1	2	1	1	0	1085	214	1290	47	-1	
5	1	2	1	1	1	1085	222	54	27	95.888008	<<
5	1	2	1	1	2	1155	214	60	35	96.475891	LE
5	1	2	1	1	3	1230	214	263	36	94.632889	MONITEUR
5	1	2	1	1	4	1509	225	54	25	96.654053	>>
5	1	2	1	1	5	1692	223	122	38	96.882629	Spécial
5	1	2	1	1	6	1826	225	39	28	88.473846	N°
5	1	2	1	1	7	1877	225	21	28	88.473846	5
5	1	2	1	1	8	1910	241	11	5	90.893150	-
5	1	2	1	1	9	1932	225	157	30	96.509819	Mercredi
5	1	2	1	1	10	2103	226	15	29	26.596031	I
5	1	2	1	1	11	2154	228	127	30	96.198853	Février
5	1	2	1	1	12	2291	228	84	30	96.585350	2017
2	1	3	0	0	0	276	240	2098	37	-1	
3	1	3	1	0	0	276	240	2098	37	-1	
4	1	3	1	1	0	276	240	2098	37	-1	
5	1	3	1	1	1	276	240	2098	37	95.000000	 
2	1	4	0	0	0	276	251	2096	43	-1	
3	1	4	1	0	0	276	251	2096	43	-1	
4	1	4	1	1	0	276	251	2096	43	-1	
5	1	4	1	1	1	276	251	2096	43	95.000000	 
2	1	5	0	0	0	346	639	214	32	-1	
3	1	5	1	0	0	346	639	214	32	-1	
4	1	5	1	1	0	346	639	214	32	-1	
5	1	5	1	1	1	346	639	128	32	93.214020	Article
5	1	5	1	1	2	492	639	68	32	90.602173	82.-
2	1	6	0	0	0	648	336	1723	141	-1	
3	1	6	1	0	0	648	336	1723	141	-1	
4	1	6	1	1	0	649	336	1722	49	-1	
5	1	6	1	1	1	649	336	46	30	96.448418	Le
5	1	6	1	1	2	705	336	180	31	51.857300	contrôleur
5	1	6	1	1	3	896	336	156	33	96.380142	financier
5	1	6	1	1	4	1061	343	76	35	96.819351	peut
5	1	6	1	1	5	1148	339	124	30	95.418327	obtenir
5	1	6	1	1	6	1283	339	273	32	95.418327	communication
5	1	6	1	1	7	1568	340	39	32	95.886513	de
5	1	6	1	1	8	1617	346	103	26	96.836868	toutes
5	1	6	1	1	9	1732	342	46	31	96.292534	les
5	1	6	1	1	10	1790	342	108	40	96.569885	pièces
5	1	6	1	1	11	1905	342	229	40	95.346848	justificatives
5	1	6	1	1	12	2146	345	57	31	97.006477	des
5	1	6	1	1	13	2214	346	157	39	96.417015	dépenses
4	1	6	1	2	0	649	390	1722	47	-1	
5	1	6	1	2	1	649	394	31	26	93.652451	et
5	1	6	1	2	2	690	390	129	39	93.652451	dispose
5	1	6	1	2	3	829	390	18	31	96.950172	à
5	1	6	1	2	4	856	396	50	25	96.874123	cet
5	1	6	1	2	5	915	390	80	32	96.750397	effet
5	1	6	1	2	6	1004	391	40	31	96.952171	de
5	1	6	1	2	7	1053	391	137	41	93.301537	pouvoir
5	1	6	1	2	8	1199	393	171	40	83.141579	d’enquête
5	1	6	1	2	9	1380	393	30	31	95.784554	le
5	1	6	1	2	10	1421	394	70	40	96.033058	plus
5	1	6	1	2	11	1502	394	125	36	96.033058	étendu,
5	1	6	1	2	12	1638	400	196	27	96.445076	notamment
5	1	6	1	2	13	1842	406	40	21	96.923813	en
5	1	6	1	2	14	1893	406	37	22	96.520210	ce
5	1	6	1	2	15	1940	397	54	40	94.701363	qui
5	1	6	1	2	16	2004	406	158	23	94.701363	concerne
5	1	6	1	2	17	2173	399	26	31	44.663273	là
5	1	6	1	2	18	2204	399	167	32	44.663273	sincérité
4	1	6	1	3	0	648	444	570	33	-1	
5	1	6	1	3	1	648	444	57	30	96.759132	des
5	1	6	1	3	2	720	444	227	32	96.949394	certifications
5	1	6	1	3	3	961	445	40	31	97.018890	de
5	1	6	1	3	4	1016	445	123	32	96.918274	service
5	1	6	1	3	5	1152	445	66	32	95.396347	fait.
2	1	7	0	0	0	648	541	1495	47	-1	
3	1	7	1	0	0	648	541	1495	47	-1	
4	1	7	1	1	0	648	541	1495	47	-1	
5	1	7	1	1	1	648	541	33	32	96.776421	Si
5	1	7	1	1	2	696	543	47	30	93.260201	les
5	1	7	1	1	3	757	543	308	33	92.496399	ordonnancements
5	1	7	1	1	4	1080	544	45	32	96.490959	lui
5	1	7	1	1	5	1139	546	175	39	93.265587	paraissent
5	1	7	1	1	6	1329	546	149	32	92.793953	entachés
5	1	7	1	1	7	1494	547	256	41	89.124619	d’irrégularités,
5	1	7	1	1	8	1766	549	21	30	96.738029	il
5	1	7	1	1	9	1803	549	68	32	95.248711	doit
5	1	7	1	1	10	1883	549	123	32	95.248711	refuser
5	1	7	1	1	11	2020	550	30	31	93.483162	le
5	1	7	1	1	12	2063	550	80	32	96.896049	visa.
2	1	8	0	0	0	643	642	1725	306	-1	
3	1	8	1	0	0	643	642	1725	306	-1	
4	1	8	1	1	0	646	642	1720	47	-1	
5	1	8	1	1	1	646	642	45	30	96.710869	Le
5	1	8	1	1	2	709	642	145	31	96.776855	contrôle
5	1	8	1	1	3	871	642	227	32	96.715172	administratif
5	1	8	1	1	4	1113	643	122	32	96.896729	interne
5	1	8	1	1	5	1253	654	40	21	95.302704	ex
5	1	8	1	1	6	1311	650	74	36	95.302704	post
5	1	8	1	1	7	1403	651	48	26	96.003166	est
5	1	8	1	1	8	1469	646	42	31	96.003166	du
5	1	8	1	1	9	1529	652	117	26	96.590752	ressort
5	1	8	1	1	10	1664	648	39	30	96.590752	de
5	1	8	1	1	11	1721	648	209	41	42.862785	l'Inspection
5	1	8	1	1	12	1950	648	157	32	96.764542	Générale
5	1	8	1	1	13	2126	649	56	32	96.362968	des
5	1	8	1	1	14	2201	651	165	37	95.739960	Finances,
4	1	8	1	2	0	645	696	1723	51	-1	
5	1	8	1	2	1	645	696	111	39	96.889572	placée
5	1	8	1	2	2	768	705	75	23	87.825157	sous
5	1	8	1	2	3	857	696	157	33	87.825157	l’autorité
5	1	8	1	2	4	1026	697	42	32	96.891068	du
5	1	8	1	2	5	1080	697	149	32	96.709351	Ministre
5	1	8	1	2	6	1239	699	116	41	96.247711	chargé
5	1	8	1	2	7	1367	699	57	32	96.247711	des
5	1	8	1	2	8	1434	700	165	32	95.416901	Finances.
5	1	8	1	2	9	1613	702	69	30	96.109779	Elle
5	1	8	1	2	10	1694	711	117	27	92.845749	assure,
5	1	8	1	2	11	1823	703	78	31	96.778671	dans
5	1	8	1	2	12	1913	703	47	31	96.071152	les
5	1	8	1	2	13	1973	703	182	32	96.203682	conditions
5	1	8	1	2	14	2166	705	136	41	96.482208	prévues
5	1	8	1	2	15	2312	715	56	32	95.998627	par
4	1	8	1	3	0	645	750	1723	42	-1	
5	1	8	1	3	1	645	759	60	21	96.935928	son
5	1	8	1	3	2	718	754	104	32	89.480774	statut,
5	1	8	1	3	3	836	750	46	32	96.376144	les
5	1	8	1	3	4	896	751	151	32	96.993561	missions
5	1	8	1	3	5	1061	751	55	41	96.837105	qui
5	1	8	1	3	6	1130	753	43	30	89.953369	lui
5	1	8	1	3	7	1188	757	72	26	96.415405	sont
5	1	8	1	3	8	1272	753	144	32	96.776184	confiées
5	1	8	1	3	9	1431	759	32	26	96.205696	et
5	1	8	1	3	10	1475	759	196	27	94.882011	notamment
5	1	8	1	3	11	1683	756	31	30	96.362816	la
5	1	8	1	3	12	1727	756	211	32	95.879868	surveillance
5	1	8	1	3	13	1952	757	56	32	96.172028	des
5	1	8	1	3	14	2022	757	140	34	96.365311	services
5	1	8	1	3	15	2175	759	40	32	96.500114	de
5	1	8	1	3	16	2230	750	96	41	92.175262	l’État
5	1	8	1	3	17	2338	765	30	26	96.764908	et
4	1	8	1	4	0	644	804	1721	47	-1	
5	1	8	1	4	1	644	804	40	30	96.881058	de
5	1	8	1	4	2	702	808	71	27	96.901871	tous
5	1	8	1	4	3	792	810	101	26	96.727089	autres
5	1	8	1	4	4	912	805	198	40	96.321419	organismes
5	1	8	1	4	5	1128	807	135	39	96.694084	publics.
5	1	8	1	4	6	1284	807	57	32	96.079376	Ses
5	1	8	1	4	7	1361	807	151	33	96.918892	missions
5	1	8	1	4	8	1532	808	69	32	96.814819	font
5	1	8	1	4	9	1617	810	114	39	95.290993	l’objet
5	1	8	1	4	10	1748	810	79	32	90.959885	d’un
5	1	8	1	4	11	1844	820	203	31	96.461441	programme
5	1	8	1	4	12	2064	811	40	32	96.461441	de
5	1	8	1	4	13	2122	813	111	32	96.473984	travail
5	1	8	1	4	14	2252	814	113	31	96.327980	annuel
4	1	8	1	5	0	643	858	1722	50	-1	
5	1	8	1	5	1	643	858	161	41	96.381409	approuvé
5	1	8	1	5	2	813	868	54	31	96.709541	par
5	1	8	1	5	3	876	859	30	31	89.659706	le
