level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2550	3300	-1	
2	1	1	0	0	0	228	223	2104	2823	-1	
3	1	1	1	0	0	234	223	2098	68	-1	
4	1	1	1	1	0	235	223	2097	45	-1	
5	1	1	1	1	1	235	229	20	30	96.872192	2
5	1	1	1	1	2	1044	232	54	26	96.896149	<<
5	1	1	1	1	3	1115	223	60	35	96.896149	LE
5	1	1	1	1	4	1190	223	262	35	94.547821	MONITEUR
5	1	1	1	1	5	1467	231	54	25	96.327721	>>
5	1	1	1	1	6	1652	228	122	40	96.744179	Spécial
5	1	1	1	1	7	1784	229	41	29	96.528145	N°
5	1	1	1	1	8	1836	228	20	28	89.972260	5
5	1	1	1	1	9	1869	244	11	5	89.972260	-
5	1	1	1	1	10	1892	228	155	28	95.233894	Mercredi
5	1	1	1	1	11	2060	228	41	28	51.120155	1"
5	1	1	1	1	12	2111	228	126	30	96.433365	Février
5	1	1	1	1	13	2248	228	84	28	96.967667	2017
4	1	1	1	2	0	234	276	2096	15	-1	
5	1	1	1	2	1	230	272	1244	23	0.000000	Aa
5	1	1	1	2	2	1495	272	838	23	2.373947	_____________———————————————————————_——_—
3	1	1	2	0	0	312	346	1357	44	-1	
4	1	1	2	1	0	312	346	1357	44	-1	
5	1	1	2	1	1	312	351	51	30	96.591995	Vu
5	1	1	2	1	2	376	349	47	32	96.549095	les
5	1	1	2	1	3	438	349	207	41	96.504776	dispositions
5	1	1	2	1	4	660	349	40	30	96.561905	du
5	1	1	2	1	5	715	349	92	32	96.683647	Code
5	1	1	2	1	6	820	349	41	30	93.294640	de
5	1	1	2	1	7	874	348	215	31	85.552734	l’Instruction
5	1	1	2	1	8	1104	348	186	31	92.837593	Criminelle
5	1	1	2	1	9	1304	346	156	41	96.543785	régissant
5	1	1	2	1	10	1473	347	30	31	96.887108	la
5	1	1	2	1	11	1517	346	130	32	93.264771	matière
5	1	1	2	1	12	1664	357	5	21	93.157875	:
3	1	1	3	0	0	310	474	1834	42	-1	
4	1	1	3	1	0	310	474	1834	42	-1	
5	1	1	3	1	1	310	480	52	30	96.610649	Vu
5	1	1	3	1	2	376	478	31	32	96.859055	le
5	1	1	3	1	3	420	478	115	31	96.358147	Décret
5	1	1	3	1	4	549	478	42	31	96.559608	du
5	1	1	3	1	5	609	478	38	32	96.929558	10
5	1	1	3	1	6	661	478	131	31	96.740700	octobre
5	1	1	3	1	7	810	477	83	32	96.794449	1980
5	1	1	3	1	8	906	477	171	32	96.095078	modifiant
5	1	1	3	1	9	1091	477	30	30	81.149475	la
5	1	1	3	1	10	1134	477	44	31	95.797218	loi
5	1	1	3	1	11	1193	477	42	30	96.974739	du
5	1	1	3	1	12	1248	477	42	30	96.975365	22
5	1	1	3	1	13	1305	476	180	40	96.168831	septembre
5	1	1	3	1	14	1503	475	81	32	96.740181	1922
5	1	1	3	1	15	1599	484	53	23	97.006569	sur
5	1	1	3	1	16	1665	475	47	32	96.758163	les
5	1	1	3	1	17	1727	484	102	22	95.933067	armes
5	1	1	3	1	18	1844	480	30	26	96.836670	et
5	1	1	3	1	19	1887	475	46	31	96.513458	les
5	1	1	3	1	20	1947	474	175	32	93.252686	munitions
5	1	1	3	1	21	2138	484	6	22	93.169128	:
3	1	1	4	0	0	309	604	1618	44	-1	
4	1	1	4	1	0	309	604	1618	44	-1	
5	1	1	4	1	1	309	609	52	30	96.824417	Vu
5	1	1	4	1	2	376	609	30	30	96.824417	la
5	1	1	4	1	3	420	607	60	32	96.013489	Loi
5	1	1	4	1	4	495	607	41	32	96.973984	du
5	1	1	4	1	5	552	607	20	32	96.587502	6
5	1	1	4	1	6	586	607	179	41	96.512085	septembre
5	1	1	4	1	7	785	607	82	32	96.837334	1982
5	1	1	4	1	8	881	612	124	36	96.817802	portant
5	1	1	4	1	9	1020	606	170	32	96.721321	définition
5	1	1	4	1	10	1203	606	41	30	93.134232	de
5	1	1	4	1	11	1259	605	291	31	88.980202	l’Administration
5	1	1	4	1	12	1565	604	156	41	96.774055	Publique
5	1	1	4	1	13	1734	604	170	32	93.280861	Nationale
5	1	1	4	1	14	1920	613	7	22	93.200485	:
3	1	1	5	0	0	309	733	1637	44	-1	
4	1	1	5	1	0	309	733	1637	44	-1	
5	1	1	5	1	1	309	738	51	30	95.299942	Vu
5	1	1	5	1	2	375	738	31	30	95.299942	la
5	1	1	5	1	3	418	736	59	32	96.163757	Loi
5	1	1	5	1	4	493	738	41	30	96.147202	du
5	1	1	5	1	5	553	736	37	32	96.839447	19
5	1	1	5	1	6	606	736	179	41	95.382866	septembre
5	1	1	5	1	7	803	736	82	32	96.990585	1982
5	1	1	5	1	8	899	741	124	35	96.924080	portant
5	1	1	5	1	9	1037	735	102	32	96.614502	Statut
5	1	1	5	1	10	1152	735	137	32	96.894867	Général
5	1	1	5	1	11	1304	735	55	30	96.992661	des
5	1	1	5	1	12	1374	739	111	35	96.586761	agents
5	1	1	5	1	13	1500	733	41	32	97.020493	de
5	1	1	5	1	14	1554	734	32	31	96.910805	la
5	1	1	5	1	15	1598	733	156	32	96.659142	Fonction
5	1	1	5	1	16	1767	733	156	41	93.273849	Publique
5	1	1	5	1	17	1938	742	8	27	92.946175	;
3	1	1	6	0	0	307	862	1738	44	-1	
4	1	1	6	1	0	307	862	1738	44	-1	
5	1	1	6	1	1	307	867	53	30	96.603737	Vu
5	1	1	6	1	2	373	866	31	31	95.844925	le
5	1	1	6	1	3	417	866	117	31	96.654533	Décret
5	1	1	6	1	4	546	866	42	31	96.721222	du
5	1	1	6	1	5	606	865	38	32	96.732300	10
5	1	1	6	1	6	653	865	108	41	96.295174	juillet
5	1	1	6	1	7	777	865	81	32	96.792122	1987
5	1	1	6	1	8	873	870	137	26	97.010559	statuant
5	1	1	6	1	9	1023	874	53	22	96.496750	sur
5	1	1	6	1	10	1088	864	46	32	96.085190	les
5	1	1	6	1	11	1149	864	204	41	96.583672	Règlements
5	1	1	6	1	12	1368	864	170	32	96.583672	Généraux
5	1	1	6	1	13	1551	862	57	32	96.865433	des
5	1	1	6	1	14	1622	864	116	30	96.252190	Forces
5	1	1	6	1	15	1751	862	135	32	93.303703	Armées
5	1	1	6	1	16	1899	862	122	31	90.480064	d’Haïti
5	1	1	6	1	17	2037	871	8	27	93.151573	;
3	1	1	7	0	0	307	995	547	40	-1	
4	1	1	7	1	0	307	995	547	40	-1	
5	1	1	7	1	1	307	996	51	30	96.596550	Vu
5	1	1	7	1	2	373	996	32	30	96.039536	le
5	1	1	7	1	3	418	996	92	30	96.738449	Code
5	1	1	7	1	4	522	996	96	30	96.213715	Rural
5	1	1	7	1	5	633	1005	39	21	93.278702	en
5	1	1	7	1	6	687	995	144	40	92.395370	Vigueur
5	1	1	7	1	7	846	1005	8	26	89.704193	;
3	1	1	8	0	0	231	1120	2096	154	-1	
4	1	1	8	1	0	307	1120	2019	44	-1	
5	1	1	8	1	1	307	1125	212	32	96.624573	Considérant
5	1	1	8	1	2	528	1134	63	30	97.003487	que
5	1	1	8	1	3	601	1125	32	30	96.869698	la
5	1	1	8	1	4	642	1124	134	31	96.725853	défense
5	1	1	8	1	5	786	1129	32	26	96.990990	et
5	1	1	8	1	6	828	1124	32	31	96.623978	la
5	1	1	8	1	7	869	1123	178	41	96.624573	protection
5	1	1	8	1	8	1058	1123	57	31	96.543938	des
5	1	1	8	1	9	1125	1122	108	32	96.605995	Droits
5	1	1	8	1	10	1245	1128	30	26	96.947380	et
5	1	1	8	1	11	1286	1122	55	32	96.612671	des
5	1	1	8	1	12	1353	1122	155	36	96.961601	Libertés,
5	1	1	8	1	13	1520	1122	30	30	95.543251	le
5	1	1	8	1	14	1562	1122	151	30	96.790642	maintien
5	1	1	8	1	15	1725	1122	40	30	96.992371	de
5	1	1	8	1	16	1776	1121	127	36	96.179955	l’ordre,
5	1	1	8	1	17	1916	1121	30	31	96.755226	la
5	1	1	8	1	18	1956	1120	74	41	96.860329	paix
5	1	1	8	1	19	2042	1125	30	26	96.941772	et
5	1	1	8	1	20	2083	1120	30	31	93.993416	la
5	1	1	8	1	21	2124	1120	202	41	93.664627	tranquillité,
4	1	1	8	2	0	231	1173	2096	45	-1	
5	1	1	8	2	1	231	1179	31	32	96.057709	la
5	1	1	8	2	2	273	1179	136	32	96.863831	sécurité
5	1	1	8	2	3	420	1179	57	30	96.906906	des
5	1	1	8	2	4	490	1179	68	30	97.001740	vies
5	1	1	8	2	5	570	1184	30	25	96.774040	et
5	1	1	8	2	6	610	1179	58	30	96.915497	des
